dT=0.1
(2.873042106628418, 3.064578056335449, 11.204863548278809)
(1.4173674583435059, 3.064578056335449, 10.314221382141113)
(0.09576806426048279, 3.8307228088378906, 9.289502143859863)
(-0.5267243981361389, 5.430049419403076, 7.527369976043701)
(-0.363918662071228, 6.282385349273682, 7.709329605102539)
(-0.49799394607543945, 6.550535678863525, 6.847416877746582)
(-1.3215993642807007, 6.789956092834473, 4.855441093444824)
(-2.8826189041137695, 7.929595947265625, 6.215347766876221)
(-3.7924153804779053, 7.766790390014648, 8.571242332458496)
(-0.4692635238170624, 7.8529815673828125, 6.952761650085449)
(0.019153613597154617, 7.010222434997559, 7.048529624938965)
(0.6224924325942993, 7.556100368499756, 6.5696892738342285)
(1.0438719987869263, 7.7763671875, 6.4164605140686035)
(1.359906554222107, 8.523358345031738, 5.832275390625)
(1.8962076902389526, 8.465897560119629, 4.367023944854736)
(2.652775526046753, 8.820239067077637, 3.3231520652770996)
(4.3191399574279785, 8.485051155090332, 0.6129156351089478)
(5.1810526847839355, 7.862558364868164, 1.800439715385437)
(6.224924564361572, 7.594407558441162, 1.37906014919281)
(7.4316020011901855, 6.349422931671143, 0.8140285611152649)
(7.374141216278076, 5.899312973022461, 0.9385270476341248)
(6.933608055114746, 5.813121795654297, 2.5474305152893066)
(6.962338447570801, 4.481945514678955, 3.9456443786621094)
(7.115567684173584, 4.165910720825195, 5.066130638122559)
(6.9240312576293945, 3.581725835800171, 5.765237808227539)
(6.761225700378418, 2.873042106628418, 7.182605266571045)
(4.501099109649658, 3.3901896476745605, 7.910442352294922)
(3.9264907836914062, 2.5474305152893066, 7.613561630249023)
(2.0877439975738525, 2.31758713722229, 9.442731857299805)
(1.3886369466781616, 1.1013327836990356, 10.955866813659668)
(-0.15322890877723694, 2.5953147411346436, 10.630255699157715)
(-0.5746083855628967, 2.6815059185028076, 9.816226959228516)
(-1.235408067703247, 2.451662540435791, 9.806650161743164)
(-2.1164743900299072, 3.5913026332855225, 9.327810287475586)
(-3.0358476638793945, 4.797980308532715, 8.465897560119629)
(-3.313575267791748, 5.219359874725342, 7.948749542236328)
(-3.3710360527038574, 5.085284233093262, 7.661445617675781)
(-4.865017890930176, 5.9088897705078125, 7.096413612365723)
(-5.1810526847839355, 6.119579315185547, 5.822698593139648)
(-6.186617374420166, 6.157886981964111, 5.008669853210449)
(-6.636727333068848, 6.4164605140686035, 4.529829502105713)
(-7.489062786102295, 6.205770969390869, 4.060565948486328)
(-7.536946773529053, 6.502651691436768, 4.242525577545166)
(-7.632715225219727, 6.186617374420166, 3.3518824577331543)
(-7.3454108238220215, 7.173028469085693, 2.1930887699127197)
(-6.8378400802612305, 6.5696892738342285, 2.2026655673980713)
(-6.703764915466309, 7.2783732414245605, -0.3256114423274994)
(-6.971915245056152, 7.220912456512451, -0.9672574996948242)
(-7.240066051483154, 7.067683219909668, -1.0247182846069336)
(-6.646304130554199, 8.676587104797363, -1.0534487962722778)
(-5.449203014373779, 8.446743965148926, 1.7334020137786865)
(-1.6759412288665771, 8.149862289428711, 1.7908629179000854)
(0.047884032130241394, 8.255207061767578, 4.309563159942627)
(2.097320795059204, 8.111555099487305, 4.309563159942627)
(2.7006595134735107, 7.709329605102539, 5.382165431976318)
(3.399766445159912, 7.623138427734375, 5.583278179168701)
(5.822698593139648, 6.368576526641846, 4.434061527252197)
(6.301538944244385, 5.659893035888672, 4.855441093444824)
(5.659893035888672, 6.540958881378174, 4.309563159942627)
(9.461885452270508, 2.38462495803833, 4.462791919708252)
(8.96389102935791, 3.8977603912353516, 3.9456443786621094)
(8.169015884399414, 4.5394062995910645, 4.999093055725098)
(4.606443881988525, 6.205770969390869, 5.094861030578613)
(1.3886369466781616, 7.939172744750977, 7.038952827453613)
(1.4173674583435059, 8.456320762634277, 4.8937482833862305)
(1.015141487121582, 8.197746276855469, 3.514688014984131)
(-1.216254472732544, 8.226476669311523, 1.2258312702178955)
(-4.031835556030273, 9.279925346374512, 1.9919757843017578)
(-5.65031623840332, 8.647856712341309, 1.742978811264038)
(-5.659893035888672, 7.556100368499756, 2.499546527862549)
(-6.4164605140686035, 6.2632317543029785, 2.145204782485962)
(-8.753201484680176, 7.144298076629639, 1.8962076902389526)
(-8.667010307312012, 6.885724067687988, 3.1507694721221924)
(-5.286397457122803, 5.9088897705078125, 3.07415509223938)
(-2.9017724990844727, 6.196194171905518, 6.100425720214844)
(-0.33518823981285095, 5.564124584197998, 6.4164605140686035)
(0.40222588181495667, 4.568136692047119, 9.174580574035645)
(0.9959878921508789, 4.20421838760376, 8.216899871826172)
(1.50355863571167, 2.0685901641845703, 10.093954086303711)
(1.7525556087493896, 1.091755986213684, 10.285490036010742)
(1.4077905416488647, 0.8523358106613159, 9.825803756713867)
(1.1109095811843872, 0.2585737705230713, 10.266336441040039)
(1.0534487962722778, -0.8140285611152649, 10.754754066467285)
